7,3,3,0,8,10,0,8,8,3,2,0,9,1,0,3,-1,
19,7,7,7,7,9,4,8,8,8,-1,-1,-1,-1,-1,-1,-1,
31,0,0,0,5,0,0,0,3,0,-1,-1,-1,-1,-1,-1,-1,
43,10,6,9,10,2,9,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
67,1,5,1,1,7,9,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,
79,5,6,5,6,9,6,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,
103,3,4,9,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
127,0,0,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
139,0,0,0,8,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
151,0,0,0,7,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
163,0,0,0,5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
199,10,0,7,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
211,0,0,0,6,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
223,0,0,0,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
271,0,0,0,8,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
283,7,3,2,7,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
307,0,0,0,10,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
331,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
367,3,4,8,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
379,2,0,1,9,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
439,0,0,0,10,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
463,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
487,0,0,0,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
499,0,0,0,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
523,9,10,1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
547,0,0,0,7,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
571,1,2,2,10,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
607,0,0,0,6,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
619,4,10,2,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
631,8,4,9,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
643,2,10,7,9,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
691,0,0,0,5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
727,10,3,6,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
739,0,0,0,6,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
751,4,8,10,4,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
787,2,10,1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
811,0,0,0,7,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
823,0,0,0,5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
859,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
883,0,0,0,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
907,2,2,10,9,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
919,9,6,3,2,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
967,0,0,0,10,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
991,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1039,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1051,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1063,3,9,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1087,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1123,10,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1171,2,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1231,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1279,4,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1291,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1303,9,9,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1327,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1399,5,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1423,3,9,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1447,9,10,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1459,3,10,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1471,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1483,5,10,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1531,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1543,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1567,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1579,2,7,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1627,1,9,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1663,6,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1699,2,9,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1723,8,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1747,6,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
